QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_cebd71035824a1014957392a status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_81fc2b1c5bdf70cda0389546 status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
CONTROL_76fd323e82c29db9141d7deb status=0 uid=0 boot=11d6c8a6-fda9-48cd-b71f-f1c0103c322f
{
  "passed": true,
  "reason": "pass",
  "input_sha256": {
    "kernel": "6662070404f0ef93dcdafc28f32f713665ab980b1a30f35a5d51310aadf8d261",
    "u_boot": "738775f52dcfad98dfae4b851a6dc3118db30bbe6455c7df3573a84133db8a5d",
    "dtb": "586d1136aed48f8935a35febe0cf7d68fe44892215ab81209def62ffdb000142",
    "stage1_initramfs": "872e38f947e18c225f2df47a645d419c04c42d536a6c5f518226dbc9d243593d",
    "root_image": "bd855c9855e6734cb5e154d488d7c1899f9c1949ac01dae87cd0fc88702e35cf",
    "manifest": "1465d690e049a9ddd8eec2b8e7c4611dbea2fd112f53bcae224b6dd17ce16243",
    "packages_lock": "aa92c0471dbd9c08b3adfce97235f78dc625054296fe37adce5afa0a77ce9966",
    "package_checksums": "e827046a3f0f5ae381e39159436197e7c8e4c9ebfdc02aeee578138c74af4fad"
  },
  "final_root_sha256": "8fc7ffe716a0cb9545bc29b675f2d921b0a70143b7a49765f34f2cf315c7206e",
  "profile": "browser-web",
  "debian_release": "13.7",
  "experiment": "native",
  "physical": false,
  "debug_console": {
    "uid": 0,
    "pid1": "systemd",
    "root_device": "/dev/vdb",
    "root_filesystem": "ext2",
    "graphical_state": "active",
    "desktop_state": "active"
  },
  "target": "browser",
  "network_fixture": {
    "payload_path": "/asterinas-network-probe.bin",
    "payload_sha256": "7daca2095d0438260fa849183dfc67faa459fdf4936e1bc91eec6b281b27e4c2",
    "payload_size": 65536,
    "records_truncated": false,
    "request_count": 0,
    "requests": [],
    "schema_version": 1,
    "workload_max_active": 0,
    "workload_records_truncated": false,
    "workload_request_count": 0,
    "workload_requests": []
  },
  "qemu_argv": [
    [
      "qemu-system-riscv64",
      "-machine",
      "virt",
      "-cpu",
      "rv64,sv48=false,svpbmt=true,zkr=true,svadu=false,svade=true",
      "-m",
      "2G",
      "-smp",
      "4",
      "-display",
      "none",
      "-netdev",
      "user,id=net0",
      "-device",
      "virtio-net-device,netdev=net0",
      "-serial",
      "stdio",
      "-no-reboot",
      "-kernel",
      "/tmp/asterinas-debian-qemu-b1-kxxrujy6/u-boot",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/boot.ext4,id=bootdisk,readonly=on",
      "-device",
      "bochs-display",
      "-device",
      "virtio-keyboard-device",
      "-device",
      "virtio-tablet-device",
      "-device",
      "virtio-blk-device,drive=bootdisk",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/debian-root.run.ext2,id=rootdisk,cache=directsync",
      "-device",
      "virtio-blk-device,drive=rootdisk",
      "-monitor",
      "unix:/tmp/asterinas-debian-qemu-b1-kxxrujy6/monitor.sock,server=on,wait=off",
      "-qmp",
      "unix:/tmp/asterinas-debian-qemu-b1-kxxrujy6/physical-input.qmp,server=on,wait=off"
    ]
  ],
  "screenshot": {}
}
