QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_828a9bb537920a60bc6e8a65 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_815d0d7e04a256ef3d101f56 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_a553d654933e1261b2f6334d status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_a53872f8aaa0aa3111a4d522 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7b95161b7d731742fd4cf39a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_42b3d55b9f1d08f3e3d93a0a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6099f085a7efd5b9f48fd571 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0eacb98a5bd11092ca1958b0 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_a716245e889c236ea21dd005 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_278421a251d6af481cd7f98c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9daa9b789008890236e84fdb status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3c61e3ecfa39893df914199c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_77e41530d341e6a59eea78d9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8d9f90e70bb1f2776c1e1f16 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_beef634d72a0a8acd268023b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0077982c7e1943acd4905059 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_908a5ef1ee9717f65c3de0a1 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
